"dept_name","emp_no","from_date","to_date"
"Marketing",110022,"1985-01-01","1991-10-01"
"Marketing",110039,"1991-10-01","9999-01-01"
"Finance",110085,"1985-01-01","1989-12-17"
"Finance",110114,"1989-12-17","9999-01-01"
"Human Resources",110183,"1985-01-01","1992-03-21"
"Human Resources",110228,"1992-03-21","9999-01-01"
"Production",110303,"1985-01-01","1988-09-09"
"Production",110344,"1988-09-09","1992-08-02"
"Production",110386,"1992-08-02","1996-08-30"
"Production",110420,"1996-08-30","9999-01-01"
"Development",110511,"1985-01-01","1992-04-25"
"Development",110567,"1992-04-25","9999-01-01"
"Quality Management",110725,"1985-01-01","1989-05-06"
"Quality Management",110765,"1989-05-06","1991-09-12"
"Quality Management",110800,"1991-09-12","1994-06-28"
"Quality Management",110854,"1994-06-28","9999-01-01"
"Sales",111035,"1985-01-01","1991-03-07"
"Sales",111133,"1991-03-07","9999-01-01"
"Research",111400,"1985-01-01","1991-04-08"
"Research",111534,"1991-04-08","9999-01-01"
"Customer Service",111692,"1985-01-01","1988-10-17"
"Customer Service",111784,"1988-10-17","1992-09-08"
"Customer Service",111877,"1992-09-08","1996-01-03"
"Customer Service",111939,"1996-01-03","9999-01-01"
